term_str,PC0,PC1,PC2,PC3,PC4
above,-3.997980243919224e-05,6.767578787908381e-05,-2.253851282543863e-05,3.596784170739453e-05,-1.0327790691132954e-05
abrupt,-6.14860982919968e-06,-1.0383340289635185e-05,-1.2227400575357696e-05,-9.6991781550786e-06,1.1494490171491839e-06
absence,-1.3281684810868977e-05,-2.6639097290786945e-05,6.460132325708865e-05,5.027322949108362e-07,-5.218331055495736e-05
absolutely,-1.8848565856767875e-05,-3.571822740251129e-05,8.081927390798596e-06,0.00013653005329341297,-7.544954248992876e-06
absorb,-1.000646648485935e-05,-1.7365393936318662e-05,-2.2104281973796868e-05,-1.892436831418374e-05,-1.5282830491256915e-06
absorbed,-1.474628421054642e-05,-2.5120610145345963e-05,-3.3651041240189364e-05,-2.460140330715546e-05,-2.7132393685339344e-05
absorbs,-5.642427208804733e-06,-9.974139249282562e-06,-1.2581648285484679e-05,-1.0366488919014261e-05,-2.811324870066748e-06
absurd,-5.642427208804733e-06,-9.974139249282562e-06,-1.2581648285484679e-05,-1.0366488919014261e-05,-2.811324870066748e-06
academy,-1.644456253957906e-05,-3.098580895202115e-05,5.949185570917949e-05,-1.1473634460981935e-05,-1.7489188376435003e-05
accept,0.0001256003868034441,6.969152915166758e-06,-2.828337765047991e-05,-3.192361431005469e-05,-3.019902351800305e-05
acceptance,-1.1991314478701353e-05,-1.919711303963796e-05,-2.8112479443666467e-05,-3.0208678337732173e-05,7.956372495115524e-06
accepted,-7.344819031248645e-05,0.00018682816116724136,-1.2462132963421412e-06,-2.464367089298476e-05,-5.088327678515348e-05
access,-7.928414555518232e-06,-1.3576932814116903e-05,-1.7396337793243522e-05,-1.5298875400163303e-05,7.386564149070605e-07
accident,-1.906993995671892e-05,-3.3624730303477125e-05,-4.023227080357509e-05,-4.240469167883679e-05,9.674247625154928e-06
accidents,-2.4692952583437884e-05,-4.426175839075493e-05,-5.786242959699108e-05,-7.179253995658942e-05,2.614444201233399e-05
accommodating,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
accommodations,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
accompanied,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
accomplish,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
accomplished,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
